deliverableId,industryCategory,status,score,artifacts,paymentId,error,elapsedSec,checkedAt
setup-quick,marketing,PASS,,2,7cf6e76d-9bf9-479b-931f-a5a44d910ab3,"",8,2026-09-24T09:47:24.3330571+02:00
setup-full,marketing,PASS,,4,2702eb18-fe84-4313-a96e-c0b57fd5878b,"",11,2026-09-24T09:47:45.5825978+02:00
setup-custom,marketing,PASS,,3,fbd9af49-5b9d-45f1-b77c-294de80b38b1,"",6,2026-09-24T09:47:59.7871489+02:00
audit,marketing,PASS,,2,c11479fb-a2ed-4f62-8e8c-724a3d6bbb0e,"",5,2026-09-24T09:48:13.1736872+02:00
integration,marketing,PASS,,3,0e4e1539-2dbb-4c02-94bb-d799e70715ef,"",6,2026-09-24T09:48:26.8987549+02:00
workflow-design,marketing,PASS,,2,b1129087-6a56-4373-b662-5103f7bceb74,"",5,2026-09-24T09:48:40.0586086+02:00
support-priority,marketing,PASS,,2,6e995b9c-7aad-491b-9b8f-8d5e053f46d8,"",5,2026-09-24T09:48:53.2537783+02:00
support-dedicated,marketing,PASS,,2,779bc6c6-d340-4465-8932-1048877956d2,"",5,2026-09-24T09:49:06.0129268+02:00
landing,marketing,PASS,,0,0f375afd-45b7-4aec-b4a9-ec0ff3c2b31d,"",8,2026-09-24T09:49:23.4800951+02:00
website-business,marketing,PASS,,0,cd6fa16d-63d8-43f0-bcfc-a929367296a7,"",6,2026-09-24T09:49:38.4940669+02:00
website-ecommerce,marketing,PASS,,0,8a56c818-5b06-4c16-b4b7-a2fb4e98bf46,"",5,2026-09-24T09:49:51.7931888+02:00
white-label-setup,marketing,PASS,,2,e785e0e7-bbfa-4bae-b536-8886d2a32374,"",5,2026-09-24T09:50:05.0000993+02:00
sales-enablement,marketing,PASS,,2,63752595-36cb-4f44-b931-e9994a845316,"",5,2026-09-24T09:50:17.9787896+02:00
vertical-package,marketing,PASS,,2,a051d42d-936b-48db-a5be-2f3943defbce,"",5,2026-09-24T09:50:30.5539888+02:00
lead-gen-retainer,marketing,PASS,,3,549efe77-9acc-44d8-891f-137ee7cb8e27,"",9,2026-09-24T09:50:47.2569572+02:00
ai-support-retainer,marketing,PASS,,3,cd8eb2da-0dd1-4716-afc0-7b2c22ff20c1,"",5,2026-09-24T09:51:00.5601367+02:00
custom-software,marketing,PASS,,2,2a842226-9c55-4875-a06a-9fb3be638912,"",6,2026-09-24T09:51:15.9796823+02:00
bundle-portal-presence,marketing,PASS,,2,5c834d7c-b34c-4998-bf46-4e2b1713b3c4,"",5,2026-09-24T09:51:28.5079166+02:00
bundle-sales-launch,marketing,PASS,,2,b5055ba7-e9ad-478f-9a74-f8885e9f769c,"",5,2026-09-24T09:51:43.0576889+02:00
bundle-ops-clarity,marketing,PASS,,4,6ddc4380-59fe-4b0d-b3ad-64cfbace2d86,"",5,2026-09-24T09:51:55.7419528+02:00
